oid,filter,mjd,mag,magerr,clrcoeff
308103300000917,zg,58204.18234,14.685741,0.016264584,-0.11842692
308103300000917,zg,58378.49599,14.83087,0.016419534,-0.01362509
308103300000917,zg,58386.5239,15.270431,0.017044254,-0.051074438
308103300000917,zg,58423.44842,14.89981,0.01650107,-0.033315193
308103300000917,zg,58426.44364,15.087711,0.0167526,-0.06690526
308103300000917,zg,58438.45731,15.154683,0.01685369,-0.033569984
308103300000917,zg,58441.45994,15.046883,0.01669405,-0.029681906
308103300000917,zg,58476.29029,15.0539255,0.01670399,-0.041263454
308103300000917,zg,58481.29217,15.286981,0.017073242,-0.031671755
308103300000917,zg,58487.21636,15.033942,0.016675966,-0.06233473
308103300000917,zg,58491.19924,14.713398,0.016292466,-0.022239761
308103300000917,zg,58495.25598,14.643828,0.01622373,-0.034447286
308103300000917,zg,58509.21352,15.195075,0.016917834,-0.029711032
308103300000917,zg,58524.2429,15.2360525,0.01698546,-0.08315591
308103300000917,zg,58560.17182,14.715142,0.016294248,-0.12067637
308103300000917,zg,58737.50046,15.327566,0.017146282,-0.03826634
308103300000917,zg,58748.52136,15.3330965,0.01715645,-0.044397153
308103300000917,zg,58751.47967,14.676693,0.016255626,-0.051256426
308103300000917,zg,58760.48212,14.971547,0.016591819,-0.044234216
308103300000917,zg,58764.50729,14.820825,0.016408097,-0.03650896
308103300000917,zg,58767.48201,15.249429,0.017008109,-0.06599014
308103300000917,zg,58770.50242,15.2401285,0.016992332,-0.037274305
308103300000917,zg,58775.4207,14.775785,0.016358158,-0.031896498
308103300000917,zg,58784.47732,15.111592,0.016787913,-0.056730576
308103300000917,zg,58787.44684,15.317154,0.017127274,-0.06374918
308103300000917,zg,58790.52493,14.942609,0.016554462,-0.053889636
308103300000917,zg,58799.50544,15.140324,0.016831469,-0.06106602
308103300000917,zg,58802.53012,15.415728,0.017314885,-0.103788294
308103300000917,zg,58805.48523,14.751146,0.016331742,-0.043863356
308103300000917,zg,58831.41819,14.735842,0.016315645,-0.04987881
308103300000917,zg,58855.22624,15.207064,0.016937349,-0.02990946
308103300000917,zg,58855.4272,14.949608,0.016563402,-0.05344307
308103300000917,zg,58856.23552,15.180395,0.016894236,-0.05814846
308103300000917,zg,58861.34466,15.399134,0.017282074,-0.0576093
308103300000917,zg,58872.22836,15.380896,0.017246597,-0.04331214
308103300000917,zg,58875.17571,14.754663,0.016335474,-0.04128568
308103300000917,zg,58878.23663,15.281909,0.01706431,-0.047692977
308103300000917,zg,58881.23197,14.787896,0.016371377,-0.03473349
308103300000917,zg,58885.25675,15.447148,0.017378433,-0.06593954
308103300000917,zg,58888.25073,14.988016,0.016613545,-0.067056924
308103300000917,zg,58891.192,15.287219,0.017073663,-0.049959615
308103300000917,zg,58894.18901,14.945117,0.016557656,-0.05416089
308103300000917,zg,58899.17038,14.982224,0.016605865,-0.059680928
308103300000917,zg,58904.15001,15.268449,0.01704081,-0.056179054
308103300000917,zg,59124.50367,14.6972885,0.016276136,-0.052125245
308103300000917,zg,59135.46023,14.716981,0.016296133,-0.044405393
308103300000917,zg,59141.45952,15.421682,0.017326783,-0.059995867
308103300000917,zg,59144.48279,15.039852,0.016684199,-0.05642377
308103300000917,zg,59151.46519,15.262437,0.01703041,-0.050259024
308103300000917,zg,59153.42133,15.179355,0.016892575,-0.069139324
308103300000917,zg,59156.44236,15.408511,0.017300552,-0.07413595
308103300000917,zg,59158.45817,15.36792,0.017221723,-0.064368375
308103300000917,zg,59159.50651,15.043338,0.016689075,-0.08840404
308103300000917,zg,59166.44876,15.211708,0.01694497,-0.06669743
308103300000917,zg,59168.37847,15.020495,0.016657405,-0.039923012
